content_id,titulo,tipo,genero,año,duracion_min,rating_promedio,temporadas,pais_origen,idioma,clasificacion,fecha_agregado
CNT00001,The Last Kingdom 1,Pelicula,Horror,2018,107,4.47,0,France,Japones,G,2023-04-24
CNT00002,The Dynasty,Serie,Horror,2018,46,4.2,4,Italy,Japones,R,2021-03-27
CNT00003,Family Matters 3,Serie,Drama,2017,52,3.85,5,Spain,Ingles,PG-13,2020-07-28
CNT00004,Shadow Games,Pelicula,Documentary,2024,123,4.61,0,Italy,Aleman,NC-17,2020-09-12
CNT00005,Modern Life 5,Serie,Fantasy,2024,58,4.72,4,Italy,Español,G,2023-09-16
CNT00006,Secret Garden,Pelicula,Comedy,2018,102,3.76,0,Brazil,Frances,PG,2022-01-28
CNT00007,Legal Eagles 7,Serie,Mystery,2016,49,4.27,4,Spain,Aleman,R,2021-07-06
CNT00008,Dark Waters 8,Pelicula,Drama,2018,94,4.61,0,Chile,Frances,G,2021-03-08
CNT00009,Legal Eagles 9,Serie,Thriller,2022,34,3.53,4,Italy,Japones,NC-17,2021-06-22
CNT00010,Comedy Hour 10,Serie,Action,2023,45,3.18,1,Korea,Español,PG,2023-07-09
CNT00011,Night Watch 11,Pelicula,Crime,2016,139,3.76,0,Brazil,Japones,PG-13,2023-02-07
CNT00012,Dark Waters 12,Pelicula,Fantasy,2023,124,4.54,0,Peru,Español,PG-13,2022-06-09
CNT00013,The Return,Pelicula,Mystery,2019,154,4.52,0,UK,Español,PG-13,2024-09-19
CNT00014,Breaking Dawn 14,Pelicula,Action,2023,157,4.84,0,Germany,Frances,R,2020-02-09
CNT00015,The Forgotten 15,Pelicula,Sci-Fi,2018,97,3.48,0,Germany,Español,G,2024-02-07
CNT00016,Modern Life 16,Serie,Animation,2017,34,4.32,3,Colombia,Japones,NC-17,2022-05-16
CNT00017,Deep Blue 17,Pelicula,Mystery,2018,129,3.8,0,France,Frances,R,2022-11-25
CNT00018,Dark Secrets,Serie,Comedy,2020,30,4.18,4,Germany,Ingles,G,2020-05-25
CNT00019,Lost in Time,Pelicula,Drama,2020,99,4.03,0,Colombia,Aleman,PG,2023-01-09
CNT00020,The Last Stand 20,Pelicula,Crime,2024,150,3.49,0,Brazil,Aleman,PG,2020-07-12
CNT00021,Dark Waters 21,Pelicula,Thriller,2021,149,4.73,0,Mexico,Español,G,2022-04-04
CNT00022,Dark Secrets,Serie,Horror,2023,44,3.28,3,Colombia,Aleman,PG,2024-11-25
CNT00023,The Return 23,Pelicula,Animation,2016,96,4.3,0,UK,Español,G,2024-03-23
CNT00024,The Hidden Truth 24,Pelicula,Romance,2018,141,4.8,0,Spain,Aleman,G,2022-03-10
CNT00025,Action Heroes,Serie,Mystery,2023,51,4.44,3,Argentina,Frances,PG,2020-04-29
CNT00026,The Last Stand 26,Pelicula,Drama,2024,151,4.01,0,Korea,Japones,PG,2020-04-26
CNT00027,The Hidden Truth,Pelicula,Comedy,2018,141,3.24,0,Germany,Ingles,NC-17,2023-05-02
CNT00028,Golden Age,Pelicula,Fantasy,2024,162,4.05,0,Colombia,Ingles,PG-13,2021-05-03
CNT00029,Comedy Hour,Serie,Fantasy,2019,44,3.63,2,Mexico,Aleman,NC-17,2023-02-27
CNT00030,Echoes of Tomorrow 30,Pelicula,Animation,2019,106,4.87,0,USA,Ingles,PG-13,2021-08-06
CNT00031,The Return 31,Pelicula,Mystery,2019,168,4.97,0,Japan,Japones,G,2023-09-29
