timestamp|user_id|action|device|country|details
2023-05-11 01:24:36|USR00259|LOGOUT|Gaming Console|UK|session_duration=49min
2024-10-15 09:58:27|USR00388|RATE|Mobile|France|content=CNT00365,rating=2
2024-11-13 10:53:48|USR00016|STOP|Gaming Console|UK|status=OK
2024-11-10 07:14:21|USR00694|DOWNLOAD|Smart TV|Peru|status=OK
2023-09-27 07:33:00|USR00594|DOWNLOAD|Smart TV|Korea|status=OK
2024-03-16 14:09:56|USR00811|LOGIN|Mobile|UK|ip=192.168.171.218,success=True
2023-09-29 19:51:06|USR00422|SEARCH|Tablet|USA|query='spanish films',results=108
2024-01-25 18:24:29|USR00283|SHARE|Mobile|Mexico|status=OK
2024-12-21 03:51:39|USR00188|SEARCH|Desktop|Mexico|query='comedy series',results=77
2023-11-21 07:16:56|USR00714|LOGOUT|Smart TV|Mexico|session_duration=36min
2023-02-10 10:16:56|USR00203|STOP|Mobile|Mexico|status=OK
2024-02-15 13:03:48|USR00570|DOWNLOAD|Gaming Console|Mexico|status=OK
2024-12-30 09:50:04|USR00443|LOGIN|Gaming Console|Italy|ip=192.168.19.127,success=True
2024-02-09 12:30:14|USR00289|BROWSE|Laptop|Chile|status=OK
2023-06-05 20:36:10|USR00867|DOWNLOAD|Laptop|Germany|status=OK
2023-08-20 16:53:41|USR00145|BROWSE|Mobile|Japan|status=OK
2024-05-10 14:11:34|USR00638|BROWSE|Gaming Console|Colombia|status=OK
2024-06-30 22:18:40|USR00018|LOGIN|Gaming Console|Peru|ip=192.168.231.70,success=True
2024-04-02 15:14:51|USR00768|STOP|Desktop|Argentina|status=OK
2024-12-02 00:21:26|USR00346|PAUSE|Gaming Console|Brazil|status=OK
2023-01-04 05:44:48|USR00946|LOGOUT|Tablet|Argentina|session_duration=64min
2024-04-03 23:11:56|USR00646|SEARCH|Smart TV|Korea|query='new releases',results=47
2024-03-07 18:45:21|USR00943|PLAY|Laptop|Italy|content=CNT00019,quality=SD
2023-06-05 21:48:09|USR00474|SHARE|Desktop|Chile|status=OK
2023-04-15 04:06:23|USR00427|ERROR|Desktop|Germany|type=NETWORK_TIMEOUT,severity=HIGH
2024-03-09 13:19:59|USR00666|RATE|Smart TV|Spain|content=CNT00125,rating=2
2024-08-07 00:47:51|USR00559|BROWSE|Mobile|Brazil|status=OK
2024-07-10 02:31:53|USR00122|ERROR|Desktop|USA|type=AUTH_EXPIRED,severity=CRITICAL
2023-12-13 12:40:15|USR00761|SEARCH|Smart TV|Argentina|query='new releases',results=80
2024-08-24 13:20:22|USR00134|SHARE|Mobile|Colombia|status=OK
2023-02-21 08:39:17|USR00049|LOGOUT|Desktop|Brazil|session_duration=129min
2023-12-10 04:43:35|USR00120|LOGIN|Laptop|Spain|ip=192.168.9.104,success=True
2023-07-23 17:44:53|USR00852|BROWSE|Desktop|UK|status=OK
2023-11-21 23:14:14|USR00565|DOWNLOAD|Laptop|Spain|status=OK
2024-05-13 21:10:53|USR00297|PAUSE|Laptop|Peru|status=OK
2023-01-08 11:46:11|USR00873|DOWNLOAD|Tablet|Peru|status=OK
2023-04-22 09:29:53|USR00508|LOGOUT|Smart TV|UK|session_duration=137min
2024-10-31 19:54:07|USR00666|STOP|Desktop|Peru|status=OK
2024-03-11 21:05:07|USR00401|LOGIN|Desktop|Japan|ip=192.168.212.32,success=True
2024-10-21 07:44:08|USR00758|STOP|Smart TV|Spain|status=OK
2023-03-17 08:21:18|USR00360|LOGIN|Desktop|Brazil|ip=192.168.232.54,success=True
2023-09-16 19:39:34|USR00312|STOP|Mobile|Brazil|status=OK
2024-03-27 04:58:08|USR00921|LOGOUT|Tablet|France|session_duration=87min
2023-07-22 21:57:20|USR00916|ERROR|Mobile|Peru|type=PLAYBACK_FAILED,severity=CRITICAL
2024-03-20 11:25:53|USR00590|LOGOUT|Desktop|Colombia|session_duration=97min
2023-11-21 06:55:23|USR00793|SHARE|Gaming Console|Argentina|status=OK
2023-09-25 20:56:29|USR00658|DOWNLOAD|Desktop|Mexico|status=OK
2023-10-07 20:34:05|USR00178|SHARE|Desktop|Italy|status=OK
2024-06-14 04:34:18|USR00620|STOP|Gaming Console|Japan|status=OK
2023-04-17 22:31:37|USR00601|RATE|Laptop|Colombia|content=CNT00499,rating=3
2024-02-24 10:43:09|USR00623|ERROR|Laptop|France|type=NETWORK_TIMEOUT,severity=MEDIUM
2024-03-10 02:57:40|USR00784|RATE|Tablet|Japan|content=CNT00013,rating=1
2023-02-24 01:51:21|USR00715|SHARE|Mobile|UK|status=OK
2023-07-22 10:45:25|USR00613|LOGOUT|Mobile|Mexico|session_duration=74min
2024-02-19 17:41:33|USR00732|SHARE|Laptop|USA|status=OK
2023-05-22 03:57:01|USR00253|RATE|Gaming Console|Italy|content=CNT00356,rating=2
2023-09-18 08:56:11|USR00039|STOP|Smart TV|Italy|status=OK
2024-08-27 02:51:20|USR00429|STOP|Laptop|UK|status=OK
2024-03-21 05:18:03|USR00184|SEARCH|Tablet|Colombia|query='comedy series',results=149
