view_id,user_id,content_id,fecha,duracion_vista_min,completado,dispositivo
V001,U001,1,2024-01-15,55,true,smart_tv
V002,U001,2,2024-01-16,45,false,smart_tv
V003,U002,3,2024-01-15,60,true,laptop
V004,U003,5,2024-01-17,50,true,smart_tv
V005,U004,10,2024-01-18,30,false,celular
V006,U005,21,2024-01-19,195,true,tablet
V007,U006,16,2024-01-20,60,true,smart_tv
V008,U007,17,2024-01-15,50,true,celular
V009,U008,23,2024-01-21,148,true,laptop
V010,U009,34,2024-01-22,105,true,celular
V011,U010,1,2024-01-23,55,true,tablet
V012,U011,4,2024-01-24,47,true,smart_tv
V013,U012,8,2024-01-25,60,true,laptop
V014,U013,19,2024-01-26,40,true,celular
V015,U014,30,2024-01-27,152,true,smart_tv
V016,U015,47,2024-01-28,129,true,tablet
V017,U016,2,2024-01-29,50,true,smart_tv
V018,U017,11,2024-01-30,20,false,celular
V019,U018,39,2024-02-01,132,true,laptop
V020,U019,42,2024-02-02,125,true,smart_tv
V021,U020,3,2024-02-03,55,false,tablet
V022,U001,13,2024-02-04,60,true,smart_tv
V023,U002,25,2024-02-05,136,true,laptop
V024,U003,28,2024-02-06,169,true,smart_tv
V025,U004,33,2024-02-07,81,true,celular
V026,U005,6,2024-02-08,58,true,tablet
V027,U006,7,2024-02-09,60,true,smart_tv
V028,U007,9,2024-02-10,45,true,celular
V029,U008,12,2024-02-11,42,true,laptop
V030,U009,14,2024-02-12,60,true,celular
V031,U010,15,2024-02-13,45,false,tablet
V032,U011,18,2024-02-14,45,true,smart_tv
V033,U012,20,2024-02-15,60,true,laptop
V034,U013,22,2024-02-16,150,false,celular
V035,U014,24,2024-02-17,154,true,smart_tv
V036,U015,26,2024-02-18,142,true,tablet
V037,U016,27,2024-02-19,178,true,smart_tv
V038,U017,29,2024-02-20,100,false,celular
V039,U018,31,2024-02-21,162,true,laptop
V040,U019,32,2024-02-22,127,true,smart_tv
V041,U020,35,2024-02-23,135,true,tablet
V042,U021,36,2024-02-24,106,true,celular
V043,U022,37,2024-02-25,154,true,smart_tv
V044,U023,38,2024-02-26,118,true,laptop
V045,U024,40,2024-02-27,120,true,celular
V046,U025,41,2024-02-28,106,true,smart_tv
V047,U026,43,2024-03-01,122,true,tablet
V048,U027,44,2024-03-02,116,true,smart_tv
V049,U028,45,2024-03-03,155,true,celular
V050,U029,46,2024-03-04,130,true,laptop
